知道 zhidao
化害为利 huahaiweili
脱臼 tuojiu
身居 shenju
挂拍 guapai
红绳系足 hongshengxizu
缩减 suojian
思想解放 sixiangjiefang
童心未泯 tongxinweimin
平民化 pingminhua
下不着地 xiabuzhuodi
即 ji
纷呈 fencheng
不让 burang
讴歌 ouge
主使 zhushi
节节胜利 jiejieshengli
打雪仗 daxuezhang
垄断资本 longduanziben
男男女女 nannannvnv
膀大腰圆 bangdayaoyuan
除外 chuwai
出 chu
深有感触 shenyouganchu
毁于蚁穴 huiyuyixue
永恒不变 yonghengbubian
死去 siqu
子承父业 zichengfuye
呜呜咽咽 wuwuyanyan
挤牙膏 jiyagao
可能 keneng
装裱 zhuangbiao
过虑 guolv
与民争利 yuminzhengli
滚雪球 gunxueqiu
少不得 shaobude
对局 duiju
冲塌 chongta
打断 daduan
猛打 mengda
如醉如狂 ruzuirukuang
恨海难填 henhainantian
打拳 daquan
动脉硬化 dongmaiyinghua
舒筋活血 shujinhuoxue
群雄逐鹿 qunxiongzhulu
见势不妙 jianshibumiao
下班 xiaban
非同寻常 feitongxunchang
喷水 penshui
意味着 yiweizhuo
公之于世 gongzhiyushi
参演 canyan
高空作业 gaokongzuoye
想尽 xiangjin
按质论价 anzhilunjia
汽化 qihua
颂扬 songyang
回头见 huitoujian
邀请 yaoqing
压库 yaku
年近古稀 nianjinguxi
个人崇拜 gerenchongbai
为我所用 weiwosuoyong
传唱 chuanchang
记事 jishi
贪恋 tanlian
住宿 zhusu
化为灰烬 huaweihuijin
揣摩 chuaimo
不思悔改 busihuigai
脑力劳动 naolilaodong
义务劳动 yiwulaodong
晕菜 yuncai
加码 jiama
政治权利 zhengzhiquanli
割 ge
退保 tuibao
前去 qianqu
明断 mingduan
掌勺 zhangshao
前前后后 qianqianhouhou
感化 ganhua
修身齐家 xiushenqijia
闹事 naoshi
不实之词 bushizhici
崩塌 bengta
遣词造句 qiancizaoju
当令 dangling
驻扎 zhuzha
慰情胜无 weiqingshengwu
保外就医 baowaijiuyi
飘溢 piaoyi
出局 chuju
坐 zuo
军事法庭 junshifating
独断 duduan
逼良为娼 biliangweichang
万象森罗 wanxiangsenluo
办 ban
举办 juban
误食 wushi
修学 xiuxue
独孤求败 duguqiubai
抒写 shuxie
新闻公报 xinwengongbao
猫哭耗子 maokuhaozi
严以律己 yanyilvji
小本生意 xiaobenshengyi
离间 lijian
连锁反应 liansuofanying
星移斗换 xingyidouhuan
掏心 taoxin
蜚声 feisheng
自然选择 ziranxuanze
闯闯 chuangchuang
交锋 jiaofeng
赞扬 zanyang
心不烦 xinbufan
豁拳 huoquan
捡便宜 jianbianyi
单口相声 dankouxiangsheng
寻思 xunsi
挨打 aida
扎根 zhagen
单口相声 chankouxiangsheng
心心相连 xinxinxianglian
纠错 jiucuo
磕打 keda
自然资源 ziranziyuan
隐约可见 yinyuekejian
挂号 guahao
谦受益 qianshouyi
筑巢引凤 zhuchaoyinfeng
强有力 qiangyouli
重叠 zhongdie
近在眼前 jinzaiyanqian
判定 panding
批复 pifu
强有力 jiangyouli
风清弊绝 fengqingbijue
就让 jiurang
夜袭 yexi
布下 buxia
反演 fanyan
变心 bianxin
物理化学 wulihuaxue
延聘 yanpin
气势如虹 qishiruhong
大田作物 datianzuowu
促使 cushi
扑打 puda
简述 jianshu
冷眼相待 lengyanxiangdai
溶解 rongjie
骨肉离散 guroulisan
大田作物 daitianzuowu
占去 zhanqu
冷板凳 lengbandeng
毫无道理 haowudaoli
结识 jieshi
浮漂 fupiao
炒鱿鱼 chaoyouyu
到校 daoxiao
搞 gao
对唱 duichang
扮 ban
躁动不安 zaodongbuan
质次价高 zhicijiagao
摩挲 mosa
土地改革 tudigaige
早退 zaotui
几何级数 jihejishu
声如洪钟 shengruhongzhong
后手不接 houshoubujie
掩面而泣 yanmianerqi
戒严 jieyan
歌唱 gechang
雍容大度 yongrongdadu
底栖生物 diqishengwu
毫无逊色 haowuxunse
出错 chucuo
君主立宪 junzhulixian
单列 danlie
照章办事 zhaozhangbanshi
单列 chanlie
言下之意 yanxiazhiyi
冥思 mingsi
退婚 tuihun
非我族类 feiwozulei
碳化 tanhua
装满 zhuangman
毁约 huiyue
口述 koushu
主办 zhuban
谋私 mousi
不无关系 buwuguanxi
扶植 fuzhi
养育之恩 yangyuzhien
水火不容 shuihuoburong
省时省力 shengshishengli
如人饮水 rurenyinshui
眷念 juannian
省时省力 xingshishengli
吹打 chuida
入列 rulie
讲价 jiangjia
丁忧 dingyou
龙口夺食 longkouduoshi
聚头 jutou
攻 gong
颤栗 chanli
兑换 duihuan
干瞪眼 gandengyan
紫花苜蓿 zihuamuxu
袒裼裸裎 tantiluocheng
到 dao
颤栗 zhanli
闹笑话 naoxiaohua
鼓捣 gudao
长此下去 changcixiaqu
首播 shoubo
减去 jianqu
令人鼓舞 lingrenguwu
瘫软 tanruan
回天无力 huitianwuli
包教包会 baojiaobaohui
倒 dao
没法儿 meifaer
断念 duannian
抬杠 taigang
孜孜以求 ziziyiqiu
多样化 duoyanghua
食物中毒 shiwuzhongdu
有机肥料 youjifeiliao
供大于求 gongdayuqiu
熬 ao
密植 mizhi
熟化 shuhua
后院起火 houyuanqihuo
从略 conglve
起事 qishi
言寡尤 yanguayou
野营拉练 yeyinglalian
蜂拥而至 fengyongerzhi
破例 poli
说不上 shuobushang
怀着鬼胎 huaizhuoguitai
重返 zhongfan
说不上 shuibushang
天差地别 tianchadibie
为之动容 weizhidongrong
严办 yanban
矮化 aihua
恭迎 gongying
追根 zhuigen
广交朋友 guangjiaopengyou
步韵 buyun
以小见大 yixiaojianda
劳而无获 laoerwuhuo
描眉画眼 miaomeihuayan
收揽 shoulan
秋月春风 qiuyuechunfeng
反 fan
疲惫不堪 pibeibukan
赤身露体 chishenluti
吃现成饭 chixianchengfan
捉拿 zhuona
椿萱并茂 chunxuanbingmao
赏光 shangguang
在即 zaiji
叱责 chize
有期徒刑 youqituxing
软着陆 ruanzhuolu
似懂非懂 sidongfeidong
茶饭不思 chafanbusi
磁化 cihua
苦熬 kuao
似懂非懂 shidongfeidong
绵延不断 mianyanbuduan
望去 wangqu
复位 fuwei
革除 gechu
心神不安 xinshenbuan
反省 fansheng
说实话 shuoshihua
吃光 chiguang
肉眼凡胎 rouyanfantai
说得过去 shuodeguoqu
说实话 shuishihua
学贯中西 xueguanzhongxi
说得过去 shuideguoqu
换心 huanxin
了解 liaojie
心仪已久 xinyiyijiu
默默无语 momowuyu
仁心仁术 renxinrenshu
变坏 bianhuai
满汉全席 manhanquanxi
修复 xiufu
公用事业 gongyongshiye
升腾 shengteng
脍不厌细 kuaibuyanxi
叩诊 kouzhen
飞来 feilai
顶头 dingtou
年事已高 nianshiyigao
不懈努力 buxienuli
历久不衰 lijiubushuai
加快 jiakuai
时不待我 shibudaiwo
以此为戒 yiciweijie
投胎 toutai
大队人马 daduirenma
意乱情迷 yiluanqingmi
恢复 huifu
拖带 tuodai
大轰大嗡 dahongdaweng
兜揽 doulan
大队人马 daiduirenma
大轰大嗡 daihongdaweng
流布 liubu
严守 yanshou
覆盖 fugai
培植 peizhi
身强体壮 shenqiangtizhuang
悼念 daonian
铩羽 shayu
百忙之中 baimangzhizhong
同呼吸 tonghuxi
接下来 jiexialai
坐北朝南 zuobeichaonan
接踵 jiezhong
人急智生 renjizhisheng
心痒难挠 xinyangnannao
摧残 cuican
救亡运动 jiuwangyundong
靠边站 kaobianzhan
演武 yanwu
利害攸关 lihaiyouguan
转战 zhuanzhan
盘诘 panji
冲抵 chongdi
络腮胡子 luosaihuzi
打 da
亲眼目睹 qinyanmudu
无功而返 wugongerfan
督阵 duzhen
退烧 tuishao
蹂躏 roulin
价值规律 jiazhiguilv
易燃易爆 yiranyibao
缩水 suoshui
人生如梦 renshengrumeng
所向无前 suoxiangwuqian
重中之重 zhongzhongzhizhong
综观 zongguan
隐隐作痛 yinyinzuotong
竹篮打水 zhulandashui
说了算 shuoliaosuan
综观 zengguan
批条子 pitiaozi
说了算 shuiliaosuan
拒之门外 juzhimenwai
修改 xiugai
复诊 fuzhen
备办 beiban
缴获 jiaohuo
相去无几 xiangquwuji
酌情处理 zhuoqingchuli
传令 chuanling
惦念 diannian
勇挑重担 yongtiaozhongdan
浮游生物 fuyoushengwu
误事 wushi
释放 shifang
更何况 genghekuang
缺斤短两 quejinduanliang
进给 jingei
和衣而睡 heyiershui
擦 ca
摆脱 baituo
和衣而睡 huoyiershui
超群绝伦 chaoqunjuelun
科教兴市 kejiaoxingshi
不尽然 bujinran
协办 xieban
劝解 quanjie
简政放权 jianzhengfangquan
膨化 penghua
忍饥挨饿 renjiaie
蒋家王朝 jiangjiawangchao
芜秽 wuhui
泣鬼神 qiguishen
热泪盈眶 releiyingkuang
法网恢恢 fawanghuihui
萍踪浪迹 pingzonglangji
雇请 guqing
催办 cuiban
手持 shouchi
生物武器 shengwuwuqi
罚 fa
针刺麻醉 zhencimazui
宽以待人 kuanyidairen
冠盖云集 guangaiyunji
言和 yanhe
有说有笑 youshuoyouxiao
间接选举 jianjiexuanju
相对湿度 xiangduishidu
仅此而已 jincieryi
学有所用 xueyousuoyong
宇宙空间 yuzhoukongjian
枯荣 kurong
以工代赈 yigongdaizhen
坍陷 tanxian
抗菌 kangjun
挥之不去 huizhibuqu
排解 paijie
根植 genzhi
毫不迟疑 haobuchiyi
吃吃喝喝 chichihehe
落泪 luolei
睦邻友好 mulinyouhao
时紧时松 shijinshisong
乘 cheng
落泪 laolei
拉 la
卸任 xieren
满堂彩 mantangcai
牛鼻子 niubizi
奉令 fengling
武昌起义 wuchangqiyi
人高马大 rengaomada
质言之 zhiyanzhi
建章立制 jianzhanglizhi
审校 shenxiao
切实有力 qieshiyouli
由来已久 youlaiyijiu
破坏 pohuai
工业革命 gongyegeming
促 cu
生张熟魏 shengzhangshuwei
爆燃 baoran
高头大马 gaotoudama
自然主义 ziranzhuyi
批办 piban
汇寄 huiji
卖唱 maichang
无始无终 wushiwuzhong
公私两便 gongsiliangbian
为此 weici
请来 qinglai
综合大学 zonghedaxue
综合大学 zenghedaxue
无处不在 wuchubuzai
原创 yuanchuang
声情并茂 shengqingbingmao
风魔 fengmo
永垂青史 yongchuiqingshi
民心所向 minxinsuoxiang
高耸入云 gaosongruyun
撑腰 chengyao
衣冠不整 yiguanbuzheng
当耳边风 dangerbianfeng
当真 dangzhen
大行其道 daxingqidao
充充电 chongchongdian
不堪重负 bukanzhongfu
大行其道 daixingqidao
国事访问 guoshifangwen
爬山越岭 pashanyueling
条块分割 tiaokuaifenge
有利于 youliyu
胡吃海喝 huchihaihe
罗列 luolie
人工流产 rengongliuchan
穿 chuan
合久必分 hejiubifen
机关刊物 jiguankanwu
加封 jiafeng
妙笔生花 miaobishenghua
真抓实干 zhenzhuashigan
共产国际 gongchanguoji
不分皂白 bufenzaobai
称奇 chengqi
睡觉 shuijue
绝圣弃智 jueshengqizhi
酒醉饭饱 jiuzuifanbao
称奇 chenqi
火力发电 huolifadian
飘扬 piaoyang
寓教于乐 yujiaoyule
少年儿童 shaonianertong
出殡 chubin
里程计 lichengji
保留剧目 baoliujumu
跬步千里 kuibuqianli
老吾老 laowulao
包产到户 baochandaohu
信任投票 xinrentoupiao
不负众望 bufuzhongwang
下去 xiaqu
封建迷信 fengjianmixin
左膀右臂 zuobangyoubi
开垦 kaiken
除此以外 chuciyiwai
成交 chengjiao
复学 fuxue
叽哩咕噜 jiligulu
清产核资 qingchanhezi
卷帙浩繁 juanzhihaofan
覆雨翻云 fuyufanyun
煞风景 shafengjing
执政 zhizheng
有令不行 youlingbuxing
中断 zhongduan
有所为 yousuowei
爱 ai
租让 zurang
粗放经营 cufangjingying
满面红光 manmianhongguang
劳动保险 laodongbaoxian
晴空万里 qingkongwanli
闻名遐迩 wenmingxiaer
刮胡子 guahuzi
夺 duo
鬼不觉 guibujue
化学武器 huaxuewuqi
炒 chao
振兴中华 zhenxingzhonghua
如蝇逐臭 ruyingzhuchou
蛮干 mangan
擦身而过 cashenerguo
阶级斗争 jiejidouzheng
穿靴戴帽 chuanxuedaimao
除此而外 chucierwai
成则为王 chengzeweiwang
切切私语 qieqiesiyu
告罄 gaoqing
毛估 maogu
甲天下 jiatianxia
判刑 panxing
封建社会 fengjianshehui
仁义君子 renyijunzi
英姿勃发 yingzibofa
形同虚设 xingtongxushe
发觉 fajue
勤工俭学 qingongjianxue
早慧 zaohui
打针 dazhen
化敌为友 huadiweiyou
以销定产 yixiaodingchan
羽翼已成 yuyiyicheng
强身健体 qiangshenjianti
心里有数 xinliyoushu
深入虎穴 shenruhuxue
人身自由 renshenziyou
强身健体 jiangshenjianti
战败 zhanbai
量子力学 liangzilixue
富贵逼人 fuguibiren
开幕 kaimu
大出风头 dachufengtou
严令禁止 yanlingjinzhi
有机化学 youjihuaxue
利在当代 lizaidangdai
大出风头 daichufengtou
钉住 dingzhu
装作 zhuangzuo
放卫星 fangweixing
继位 jiwei
归总 guizong
男女老幼 nannvlaoyou
开封 kaifeng
文山会海 wenshanhuihai
螳螂捕蝉 tanglangbuchan
跳井 tiaojing
学究天人 xuejiutianren
乏善可陈 fashankechen
大致说来 dazhishuolai
人烟稀少 renyanxishao
流动资金 liudongzijin
归根到底 guigendaodi
大致说来 daizhishuolai
克复 kefu
无愧于心 wukuiyuxin
灭虫 miechong
喜获 xihuo
议而不决 yierbujue
瞻礼 zhanli
年过花甲 nianguohuajia
璀璨夺目 cuicanduomu
法定人数 fadingrenshu
要不得 yaobude
合 he
领头 lingtou
不及其余 bujiqiyu
不成方圆 buchengfangyuan
产 chan
施礼 shili
吃闲饭 chixianfan
变调 biandiao
知恩图报 zhientubao
半遮半掩 banzhebanyan
西风东渐 xifengdongjian
百转千回 baizhuanqianhui
供述 gongshu
拒腐防变 jufufangbian
半大不小 bandabuxiao
制单 zhidan
爬行 paxing
草本植物 caobenzhiwu
民惟邦本 minweibangben
呼之即来 huzhijilai
欲哭无泪 yukuwulei
永无宁日 yongwuningri
迎难而上 yingnanershang
活见鬼 huojiangui
妄图 wangtu
喜忧参半 xiyoucanban
垦复 kenfu
无线电台 wuxiandiantai
才气过人 caiqiguoren
大获全胜 dahuoquansheng
求学 qiuxue
学到老 xuedaolao
大获全胜 daihuoquansheng
空前未有 kongqianweiyou
疏而不漏 shuerbulou
泅水 qiushui
运动神经 yundongshenjing
久治不愈 jiuzhibuyu
谓予不信 weiyubuxin
查看 chakan
泡病号 paobinghao
小看 xiaokan
被选举权 beixuanjuquan
力所不及 lisuobuji
简单易行 jiandanyixing
漂浮 piaofu
对内搞活 duineigaohuo
热情洋溢 reqingyangyi
敲打 qiaoda
明智之举 mingzhizhiju
有价证券 youjiazhengquan
插队落户 chaduiluohu
逼迫 bipo
育婴 yuying
话旧 huajiu
居心不良 juxinbuliang
出使 chushi
同工同酬 tonggongtongchou
尽其所长 jinqisuochang
马失前蹄 mashiqianti
风流倜傥 fengliutitang
春山如笑 chunshanruxiao
袖手 xiushou
熏染 xunran
耐火材料 naihuocailiao
蒲柳之姿 puliuzhizi
孰能无情 shunengwuqing
流水作业 liushuizuoye
省去 shengqu
肉食者鄙 roushizhebi
罢市 bashi
裂化 liehua
省去 xingqu
团结友爱 tuanjieyouai
赖以生存 laiyishengcun
见诸行动 jianzhuxingdong
年老体衰 nianlaotishuai
爱厂如家 aichangrujia
聚散无常 jusanwuchang
救命之恩 jiumingzhien
相随 xiangsui
感激不尽 ganjibujin
裘弊金尽 qiubijinjin
脸皮薄 lianpibao
标明 biaoming
天下为家 tianxiaweijia
坑蒙 kengmeng
强手如林 qiangshourulin
席卷而逃 xijuanertao
赞叹 zantan
人非圣贤 renfeishengxian
不战而胜 buzhanersheng
强手如林 jiangshourulin
围点打援 weidiandayuan
常规战争 changguizhanzheng
化学肥料 huaxuefeiliao
雾气腾腾 wuqitengteng
拮抗 jiekang
剖解 poujie
城门失火 chengmenshihuo
定向培育 dingxiangpeiyu
必要条件 biyaotiaojian
脱除 tuochu
豢养 huanyang
精美绝伦 jingmeijuelun
常言道 changyandao
自寻短见 zixunduanjian
大秋作物 daqiuzuowu
争斤论两 zhengjinlunliang
可比价格 kebijiage
大秋作物 daiqiuzuowu
交欢 jiaohuan
报复 baofu
殊不知 shubuzhi
多吃多占 duochiduozhan
半拉子 banlazi
高分低能 gaofendineng
矫情镇物 jiaoqingzhenwu
屡败屡战 lvbailvzhan
尾随 weisui
流光溢彩 liuguangyicai
诉说 sushuo
来日无多 lairiwuduo
尾随 yisui
耍贫嘴 shuapinzui
带 dai
含蕴 hanyun
缕述 lvshu
纨袴子弟 wanxiezidi
植物群落 zhiwuqunluo
生俘 shengfu
良辰吉日 liangchenjiri
无敌手 wudishou
解疑释惑 jieyishihuo
猜拳行令 caiquanxingling
解疑释惑 xieyishihuo
举世无敌 jushiwudi
号啕大哭 haotaodaku
官僚资本 guanliaoziben
扑闪 pushan
受刑 shouxing
老鼻子 laobizi
驱除 quchu
推诿 tuiwei
不可分割 bukefenge
葬埋 zangmai
廉洁自律 lianjiezilv
下嫁 xiajia
倾巢出动 qingchaochudong
和衣而卧 heyierwo
寸步不让 cunbuburang
人民法院 renminfayuan
饥寒交加 jihanjiaojia
和衣而卧 huoyierwo
久闻大名 jiuwendaming
犯 fan
秋水伊人 qiushuiyiren
君不见 junbujian
值守 zhishou
偎倚 weiyi
鱼水深情 yushuishenqing
腐化 fuhua
跃居 yueju
出冷门 chulengmen
身单力薄 shendanlibao
行政诉讼 xingzhengsusong
不管怎样 buguanzenyang
残垣断壁 canyuanduanbi
舍短取长 sheduanquchang
行政诉讼 hangzhengsusong
辞尊居卑 cizunjubei
守土有责 shoutuyouze
幡然醒悟 fanranxingwu
解嘲 jiechao
有染 youran
花样游泳 huayangyouyong
延宕 yandang
解嘲 xiechao
水力发电 shuilifadian
铁板钉钉 tiebandingding
强权政治 qiangquanzhengzhi
臧否人物 zangfourenwu
发昏 fahun
负债累累 fuzhaileilei
仰韶文化 yangshaowenhua
强权政治 jiangquanzhengzhi
意识形态 yishixingtai
尾生之信 weishengzhixin
广为流传 guangweiliuchuan
直来直去 zhilaizhiqu
整复 zhengfu
尾生之信 yishengzhixin
远销 yuanxiao
上天无路 shangtianwulu
断交 duanjiao
莼鲈之思 chunluzhisi
何足为奇 hezuweiqi
受制于人 shouzhiyuren
不可或缺 bukehuoque
逻辑思维 luojisiwei
不为人知 buweirenzhi
揭不开锅 jiebukaiguo
乙状结肠 yizhuangjiechang
引以自豪 yinyizihao
无怪乎 wuguaihu
大吵大闹 dachaodanao
大吵大闹 daichaodanao
炒冷饭 chaolengfan
从政 congzheng
你追我赶 nizhuiwogan
空谷传声 kongguchuansheng
初生之犊 chushengzhidu
言必信 yanbixin
发令 faling
近年来 jinnianlai
拉下水 laxiashui
说不过去 shuobuguoqu
上升 shangsheng
老掉牙 laodiaoya
久负盛名 jiufushengming
神经中枢 shenjingzhongshu
说不过去 shuibuguoqu
领读 lingdu
问卷调查 wenjuandiaocha
桑田沧海 sangtiancanghai
杀身之祸 shashenzhihuo
教书育人 jiaoshuyuren
有志竟成 youzhijingcheng
败兴而归 baixingergui
数易其稿 shuyiqigao
衣来伸手 yilaishenshou
数易其稿 shuoyiqigao
以弱胜强 yiruoshengqiang
遭受 zaoshou
缺心少肺 quexinshaofei
有权有势 youquanyoushi
老有所为 laoyousuowei
简明扼要 jianmingeyao
率先垂范 lvxianchuifan
公安部队 gonganbudui
俯首称臣 fushouchengchen
仰慕 yangmu
身在江湖 shenzaijianghu
坏人坏事 huairenhuaishi
等米下锅 dengmixiaguo
工艺美术 gongyimeishu
拉丝 lasi
催人奋进 cuirenfenjin
冷血动物 lengxuedongwu
定植 dingzhi
格杀不论 geshabulun
餐风露宿 canfenglusu
生死肉骨 shengsirougu
偏信则暗 pianxinzean
处变不惊 chubianbujing
男大当婚 nandadanghun
求索 qiusuo
受阻 shouzu
国际联盟 guojilianmeng
失不再来 shibuzailai
正当防卫 zhengdangfangwei
靠水吃水 kaoshuichishui
理性认识 lixingrenshi
坐视不管 zuoshibuguan
黄粱美梦 huangliangmeimeng
穿小鞋 chuanxiaoxie
下落不明 xialuobuming
殆尽 daijin
攀升 pansheng
摔打 shuaida
针头线脑 zhentouxiannao
各行其道 gexingqidao
民间艺术 minjianyishu
比上不足 bishangbuzu
单打独斗 dandadudou
谆谆教诲 zhunzhunjiaohui
缺吃少穿 quechishaochuan
人心齐 renxinqi
单打独斗 chandadudou
求医问药 qiuyiwenyao
迷惑不解 mihuobujie
徇私枉法 xunsiwangfa
拔 ba
突兀 tuwu
说闲话 shuoxianhua
来料加工 lailiaojiagong
说闲话 shuixianhua
慨当以慷 kaidangyikang
传经送宝 chuanjingsongbao
敲敲打打 qiaoqiaodada
水清无鱼 shuiqingwuyu
敌我矛盾 diwomaodun
无可奉告 wukefenggao
南水北调 nanshuibeidiao
艰苦创业 jiankuchuangye
无可否认 wukefouren
采撷 caixie
披红戴花 pihongdaihua
清仓查库 qingcangchaku
武装力量 wuzhuangliliang
中外古今 zhongwaigujin
工业体系 gongyetixi
名震中外 mingzhenzhongwai
文字改革 wenzigaige
脊椎动物 jizhuidongwu
好事之徒 haoshizhitu
怅然若失 changranruoshi
胜券在握 shengquanzaiwo
无形损耗 wuxingsunhao
可有可无 keyoukewu
猫哭老鼠 maokulaoshu
不绝于耳 bujueyuer
休庭 xiuting
虽败犹荣 suibaiyourong
恶性肿瘤 exingzhongliu
胎死腹中 taisifuzhong
按劳取酬 anlaoquchou
撑杆跳高 chenggantiaogao
口耳并重 kouerbingzhong
立足未稳 lizuweiwen
拖后腿 tuohoutui
越战越勇 yuezhanyueyong
宝中之宝 baozhongzhibao
松松 songsong
重如泰山 zhongrutaishan
既有今日 jiyoujinri
个体经济 getijingji
特快专递 tekuaizhuandi
分毫不差 fenhaobucha
紫气东来 ziqidonglai
下逐客令 xiazhukeling
不久以后 bujiuyihou
爆冷门 baolengmen
投石问路 toushiwenlu
死不悔改 sibuhuigai
啧啧称奇 zezechengqi
长篇小说 changpianxiaoshuo
药到病除 yaodaobingchu
万事通 wanshitong
子丑寅卯 zichouyinmao
积弱积贫 jiruojipin
承蒙 chengmeng
和好如初 hehaoruchu
井蛙之见 jingwazhijian
和好如初 huohaoruchu
到此为止 daociweizhi
传之其人 chuanzhiqiren
齐抓共管 qizhuagongguan
哺乳动物 burudongwu
限产压库 xianchanyaku
数得着 shudezhuo
星落云散 xingluoyunsan
数得着 shuodezhuo
尽管如此 jinguanruci
还给 huangei
风动工具 fengdonggongju
饿虎扑羊 ehupuyang
儿童文学 ertongwenxue
有道是 youdaoshi
归去 guiqu
产业资本 chanyeziben
纬武经文 weiwujingwen
买路钱 mailuqian
自由体操 ziyouticao
惊为天人 jingweitianren
毙 bi
收复 shoufu
英姿勃勃 yingzibobo
左拥右抱 zuoyongyoubao
自我解嘲 ziwojiechao
铁骨铮铮 tieguzhengzheng
接连不断 jielianbuduan
物欲横流 wuyuhengliu
依此类推 yicileitui
含苞待放 hanbaodaifang
上情下达 shangqingxiada
起航 qihang
毫不利己 haobuliji
吹喇叭 chuilaba
商品生产 shangpinshengchan
形而上 xingershang
谈古论今 tangulunjin
胜利果实 shengliguoshi
初级中学 chujizhongxue
解剖麻雀 jiepoumaque
引鬼上门 yinguishangmen
吹灯拔蜡 chuidengbala
解剖麻雀 xiepoumaque
万夫不当 wanfubudang
立等可取 lidengkequ
颇具规模 pojuguimo
锃光瓦亮 zengguangwaliang
上下左右 shangxiazuoyou
眼见为实 yanjianweishi
慕名而来 mumingerlai
实打实 shidashi
上无片瓦 shangwupianwa
成事不足 chengshibuzu
统购统销 tonggoutongxiao
老大不小 laodabuxiao
夕阳西下 xiyangxixia
冰壶秋月 binghuqiuyue
要言妙道 yaoyanmiaodao
无上光荣 wushangguangrong
原始积累 yuanshijilei
自由王国 ziyouwangguo
画中有诗 huazhongyoushi
植树造林 zhishuzaolin
只说不做 zhishuobuzuo
老少皆宜 laoshaojieyi
求 qiu
来路不明 lailubuming
积极分子 jijifenzi
半身不遂 banshenbusui
可敬可佩 kejingkepei
因公殉职 yingongxunzhi
共命运 gongmingyun
参政议政 canzhengyizheng
碧波万顷 bibowanqing
脊索动物 jisuodongwu
山回路转 shanhuiluzhuan
无容置疑 wurongzhiyi
熟门熟路 shumenshulu
责任事故 zerenshigu
置之死地 zhizhisidi
用心良苦 yongxinliangku
直属机关 zhishujiguan
民办公助 minbangongzhu
车轱辘话 cheguluhua
刑事犯罪 xingshifanzui
转来转去 zhuanlaizhuanqu
车轱辘话 juguluhua
有意思 youyisi
奶声奶气 naishengnaiqi
岁岁年年 suisuiniannian
汰旧换新 taijiuhuanxin
风清月朗 fengqingyuelang
秉公执法 binggongzhifa
皮里春秋 pilichunqiu
察见渊鱼 chajianyuanyu
扶 fu
国际公法 guojigongfa
吃大锅饭 chidaguofan
工人运动 gongrenyundong
唇红齿白 chunhongchibai
三两 sanliang
万人之上 wanrenzhishang
知遇之恩 zhiyuzhien
忙里忙外 manglimangwai
倒买倒卖 daomaidaomai
福慧双修 fuhuishuangxiu
楼堂馆所 loutangguansuo
大浪淘沙 dalangtaosha
挡 dang
渺无人烟 miaowurenyan
通货膨胀 tonghuopengzhang
化学纤维 huaxuexianwei
大浪淘沙 dailangtaosha
同化政策 tonghuazhengce
天道酬勤 tiandaochouqin
壬寅 renyin
鉴往知来 jianwangzhilai
健在 jianzai
喜极而泣 xijierqi
多快好省 duokuaihaosheng
依样葫芦 yiyanghulu
开拓进取 kaituojinqu
含苞欲放 hanbaoyufang
貌似强大 maosiqiangda
求神问卜 qiushenwenbu
软体动物 ruantidongwu
翻看 fankan
刑满释放 xingmanshifang
看不上眼 kanbushangyan
吃偏饭 chipianfan
丙辰 bingchen
切身利益 qieshenliyi
发凡起例 fafanqili
以苦为乐 yikuweile
破浪前进 polangqianjin
百看不厌 baikanbuyan
抽样调查 chouyangdiaocha
铅直 qianzhi
奄奄待毙 yanyandaibi
春梦无痕 chunmengwuhen
听错 tingcuo
各显神通 gexianshentong
千 qian
严父慈母 yanfucimu
党政不分 dangzhengbufen
概不负责 gaibufuze
勤政廉政 qinzhenglianzheng
貌不惊人 maobujingren
面无血色 mianwuxuese
事无大小 shiwudaxiao
哼唱 hengchang
如痴如狂 ruchirukuang
坐骨神经 zuogushenjing
忽左忽右 huzuohuyou
享清福 xiangqingfu
擦屁股 capigu
前挽后推 qianwanhoutui
不入流 buruliu
虚弱不堪 xuruobukan
亲上加亲 qinshangjiaqin
天真无邪 tianzhenwuxie
照看 zhaokan
令人心悸 lingrenxinji
裙带关系 qundaiguanxi
明枪易躲 mingqiangyiduo
库藏 kucang
拥政爱民 yongzhengaimin
由不得 youbude
广种薄收 guangzhongbaoshou
剩余价值 shengyujiazhi
编 bian
积极向上 jijixiangshang
败事有余 baishiyouyu
映入眼帘 yingruyanlian
种植 zhongzhi
细嚼慢咽 xijiaomanyan
从小到大 congxiaodaoda
牡丹虽好 mudansuihao
感慨万端 gankaiwanduan
用不着 yongbuzhuo
烟熏火燎 yanxunhuoliao
广而告之 guangergaozhi
委以重任 weiyizhongren
鸡皮疙瘩 jipigeda
艺不压身 yibuyashen
共同市场 gongtongshichang
自寻烦恼 zixunfannao
猫耳洞 maoerdong
北洋军阀 beiyangjunfa
香花供养 xianghuagongyang
主观臆断 zhuguanyiduan
盛极而衰 shengjiershuai
万应灵丹 wanyinglingdan
不要紧 buyaojin
极而言之 jieryanzhi
有苦难言 youkunanyan
徒唤奈何 tuhuannaihe
群众组织 qunzhongzuzhi
人民团体 renmintuanti
纯属 chunshu
为数众多 weishuzhongduo
遮风挡雨 zhefengdangyu
体改委 tigaiwei
冲昏头脑 chonghuntounao
不无道理 buwudaoli
